abort  中断、中止  美: [ə'bɔrt]

accept  接受  美: [əkˈsɛpt]

address  地址  美: [əˈdrɛs;(for n)ˈædres; ædrɛs]

align  排列  美: [ə'laɪn]

animation  动画  美: [,ænɪ'meʃən]

application  应用  美: [ˌæpləˈkeʃən]

area  区域  美: [ˈeriə]

Array  数组  美: [ə're]

async  异步  美:  [ə'zɪŋk]

asynchronously  异步   :查不到音标

attributes  属性  音标: ['ætrə,bjʊt]

background  背景  美: ['bækɡraʊnd]

base  基础  美: [bes]

blockquote  标记长的引用   :查不到音标

blur  使模糊  美: [blɝ]

body  身体  美: ['bɑdi]

bold  黑体的、更粗的  美: [bold]

Boolean  布尔型  音标: ['bʊlɪən]

border  边框  美: ['bɔrdɚ]

Bottom  底部  美: ['bɑtəm]

button  按钮  美: ['bʌtn]

canvas  帆布  美: ['kænvəs]

case  例子  美: [kes]

catch  捕捉  美: [kætʃ]

charset  字符集   :查不到音标

children  孩子  美: ['tʃɪldrən]

classname  类名   :查不到音标

clear  清除  美: [klɪr]

clickable  可点击   :查不到音标

client  委托人  美: ['klaɪənt]

Collapse  合并、关闭  美: [kə'læps]

color  颜色  美: ['kʌlɚ]

column  行  美: ['kɑləm]

comment  评论、意见  美: ['kɑmɛnt]

concat  连接   :查不到音标

console  控制台  美: ['kɑnsol]

container  容器  美: [kən'tenɚ]

content  内容  美: ['kɑntɛnt]

continue  继续  美: [kən'tɪnju]

cookie  本地存储  美: ['kʊki]

coordinate  坐标  美: [ko'ɔrdɪnet]

count  记数、数  美: [kaʊnt]

cursor  光标  美: ['kɝsɚ]

data  数据  美: ['detə]

Date  日期  美: [det]

Decoration  装饰、修饰  美: [,dɛkə'reʃən]

default  系统默认值  美: [dɪ'fɔlt]

delete  删除  美: [dɪ'lit]

detail  详述  美: [dɪˈtel]

direction  方向  美: [dəˈrɛkʃən; (also) daɪˈrɛkʃən]

DOCTYPE  文档类型   :查不到音标

download  下载  美: [,daʊn'lod]

draggable  可拖动的   :查不到音标

drop-down  下拉列表   :查不到音标

element  元素  美: ['ɛləmənt]

enable  使能够  美: [ɪ'nebl]

error  错误  美: ['ɛrɚ]

event  事件  美: [ɪ'vɛnt]

external  外部  美: [ekˈstərnəl; ɪkˈstərnəl]

fetch  取  美: [fɛtʃ]

filter  过滤器  美: ['fɪltɚ]

flex  弹性  美: [flɛks]

float  浮点  美: [flot]

flow  流动  美: [flo]

focus  焦点  美: ['fokəs]

font  字体  美: [fɑnt]

footer  页脚  美: ['fʊtɚ]

form  表单  美: [fɔrm]

frame  框  美: [frem]

geolocation  地理定位   :查不到音标

Global  全球的  美: ['ɡlobl]

graphics  图形、图表算法  美: ['græfɪks]

grow  生长、发育  美: [ɡro]

head  头  美: [hɛd]

height  高度  美: [haɪt]

hidden  隐藏  美: ['hɪdn]

highlight  强调  美: ['haɪlaɪt]

history  历史  美: [ˈhɪstrɪ]

href  连接   :查不到音标

hyperlink  超链接  美: ['haɪpɚlɪŋk]

icon  图标  美: ['aɪkɑn]

image  图片  美: ['ɪmɪdʒ]

important  重要的  美: [ɪm'pɔrtnt]

Indent  缩进  美: [ɪn'dɛnt]

index  指标、指数  美: ['ɪndɛks]

input  输入  美: ['ɪn'pʊt]

instance  例子  美: ['ɪnstəns]

invalid  无效的  美: [ˈɪnvəlɪd；ɪnˈvælɪd]

JavaScript  Script语言  音标: ['dʒɑvə,skrɪpt]

join  连接、结合  美: [dʒɔɪn]

JSON  json符号对象   :查不到音标

justify  排列整齐  美: ['dʒʌstə'fai]

label  标签  美: [ˈlebəl]

language  语言  美: ['læŋɡwɪdʒ]

loop  重复  美: [lup]

lowercase  小写字母  美: ['loɚ,kes]

machine  机器装置  美: [mə'ʃin]

margin  外边框  美: ['mɑrdʒən]

mark  标记  音标: [mɑːk]

Math  计算算数  美: [mæθ]

max  最大  音标: [mæks]

measurement  测量  美: ['mɛʒɚmənt]

method  方法  美: ['mɛθəd]

multiline  多线   :查不到音标

multiple  倍数  美: ['mʌltəpl]

mute  静音  美: [mjut]

navigation  导航栏  美: ['nævə'geʃən]

null  空  美: [nʌl]

Number  数字  美: ['nʌmbɚ]

opacity  透明值  美: [o'pæsəti]

Operators  操作者  美: ['ɑpə,retɚs]

order  命令  美: ['ɔrdɚ]

Orientation  方向  美: [orɪɛn'teʃən]

Origin  起源  美: ['ɔrɪdʒɪn]

outline  轮廓  美: ['aʊtlaɪn]

overflow  溢出  美: [,ovɚ'flo]

Overrides  复写，重写   :查不到音标

padding  内边距  美: ['pædɪŋ]

parameter  参数  美: [pə'ræmɪtɚ]

paste  黏贴  美: [pest]

pattern  模式  美: [ˈpætərn]

pause  暂停  美: [pɔz]

perspective  立体效果  美: [pɚ'spɛktɪv]

placeholder  占位符  音标: ['plesholdɚ]

position  位置  美: [pə'zɪʃən]

preferences  参数选择  美: ['prɛfrənsɪz]

private  私有的  美: [ˈpraɪvɪt]

promise  承诺、保证  美: ['prɑmɪs]

protocol  草案  美: ['protə'kɔl]

readonly  只读的   :查不到音标

RegExp  正则表达式   :查不到音标

relative  相对定位  美: ['rɛlətɪv]

remove  移动  美: [rɪ'muv]

repeat  重复  美: [rɪ'pit]

Represent  构成  美: [,rɛprɪ'zɛnt]

resize  调整大小  美: [,ri'saɪz]

resources  资源  美: [risɔrsiz]

resume  简历  音标: [rɪˈzjuːm; ˈrɛzjʊmeɪ]

return  返回  美: [rɪ'tɝn]

sample  样品  美: ['sæmpl]

sandbox  沙盘  美: ['sændbɑks]

scope  范围  美: [skop]

screen  屏幕  美: [skrin]

search  搜索  美: [sɝtʃ]

section  部分  美: ['sɛkʃən]

Shadow  阴影  美: ['ʃædo]

Shrink  收缩  美: [ʃrɪŋk]

size  大小  美: [saɪz]

sound  声音  美: [saʊnd]

source  来源  美: [sɔrs]

span  行内元素标签  美: [spæn]

Specifies  指定  音标: [spesifais]

src  来源   :查不到音标

Statements  声明  音标: ['stetmənt]

step  步骤  美: [stɛp]

Storage  仓库  美: ['stɔrɪdʒ]

String  字符串  美: [strɪŋ]

strong  强调文本标签  美: [strɔŋ]

style  样式  美: [staɪl]

switch  分支  美: [swɪtʃ]

table  列表  美: ['tebl]

tag  标签  美: [tæɡ]

target  目标  美: ['tɑrɡɪt]

template  模板  美: ['tɛmplet]

throw  抛  美: [θro]

title  标题  美: ['taɪtl]

Transfer  转移  美: [træns'fɝ]

translate  翻译  美: [træns'let]

type  类型  美: [taɪp]

undefined  不明确的  美: [,ʌndɪ'faɪnd]

unload  退出  美: ['ʌn'lod]

uppercase  大写字母  美: ['ʌpɚ,kes]

validate  生效  美: ['vælɪdet]

value  值  美: ['vælju]

variable  可变的  美: ['vɛrɪəbl]

versions  版本  美: ['vɝʒəns]

Visibility  能见度  美: ['vɪzə'bɪləti]

visible  可见的  美: ['vɪzəbl]

wait  等待  美: [wet]

Website  网站  音标: ['websaɪt]

while  当..时候  美: [hwaɪl]

width  宽度  美: [wɪdθ]

wrap  包装  美: [ræp]

write  书写  美: [raɪt]

